Restaurant Name,Original food Item
Coffee Time,"Bacon, Egg & Cheese Brekwich"
Protein House,"Snickers Hot Coffee, 16 oz with Milk Choice Skim Milk"
DiGiorno,"Ultra Thin Pizza, Four Cheese"
Thundercloud Subs,"Roast Beef Low-Fat Sub, Small"
Tai Pei,Chicken Potstickers
Tim Horton's,"Croissant, Cheese"
Holly's,"Oatmeal, Apricot Maple Nut"
Hoss's Family Steak And Sea House,Radishes
Horizon,Organic Mac Pasta Shells & White Cheddar Cheese
Monika,Fish Sauce
Cold Stone Creamery,"Chocolate Layer Cake Ice Cream, Like It"
Lifeway,"Kefir, Blueberry"
Frullati Cafe & Bakery,"Blueberry Banana Smoothie, Large"
Duck Donuts,"Hot Chocolate, Small"
Tyson,Buffalo Style Wings
Planet Smoothie,"Mr Mongo Cocoa Smoothie, 16 oz"
Wayback Burgers,Mushrooms
American Flatbread Grocery,Fresh Basil Pesto & Feta
Look's,Herring Fillets
Triple O's,Double Double Burger
Jack Astor's Bar & Grill,"Chicken Wings, Buffalo Sauce, Hot"
Sally's,"Cereal, Honey Graham Bliss"
Tom and Chee,Chunky Tomato Soup
Pampa,Wide Egg Noodles
Lion's Choice,Large Pulled Pork Sandwich
California Pizza Kitchen,"Crispy Thin Crust Pizza, Roasted Garlic Chicken"
Mimi's Cafe,Malted Waffles with Smoked Bacon
America's Taco Shop,"Bean and Cheese Burrito, Large"
Cold Stone Creamery,"Chocolate Dipped Strawberry Ice Cream, Love It"
YoCream,Red Velvet Cake
Blimpie,"Gold Peak Raspberry Tea, 12 oz"
Dorothy Lynch,Home Style Dressing
Garden Fresh Gourmet,Unsalted Tortilla Chips
Good Times Burgers & Frozen Custard,Buffalo Crispy Chicken Sandwich
The Hungry Hobo,Taco Salad
Bimbo,"Hamburger Buns, With Sesame Seeds, Extra Large"
Nalley Fresh,Sweet Potato Bowl
Magic Wok,Pepper Steak
DiGiorno,"Pizza Dipping Strips, Pepperoni"
Baskin Robbins,"Freeze With Rainbow Sherbet & Sprite, Small"
Cold Stone Creamery,Dipped Waffle Cone or Bowl
De Dutch Pannekoek House,Breakfast Wrap with Fruit (Mushroom Option)
Thundercloud Subs,"Veggie Delite with Hummus Sub, Small"
Safeway Select,"Ice Cream Cake, Cookies & Cream"
Boneheads,Ex-Hot Chicken Breast Sandwich
Good Times Burgers & Frozen Custard,Deluxe Cheeseburger
Sea Choice,Tilapia
Good Times Burgers & Frozen Custard,"Dr. Pepper, Large"
Hoss's Family Steak And Sea House,Oyster Crackers
Yogli Mogli,Orange Burst Sorbet
Bruster's Real Ice Cream,"Gone Bananas Ice Cream on a Waffle Cone, Regular"
Coffee Time,Poppy Seed Bagel
Del Monte,"Very Cherry, Peaches, pears, Grapes & Cherries in Cherry Flavored Light Syrup"
Toops,"Cereal, Chocolate"
Planet Wings,Beer Battered Mozzarella Sticks
Jack Astor's Bar & Grill,Roasted Garlic Pomodoro Pasta
Buddy's Bar-b-q,"Lemonade, Large"
Veggie Patch,"Mediterranean Patties, Spinach & Chickpeas"
Portillo's,Char-Grilled Italian Sausage
241 Pizza,"Veggie Sensation Pizza, Small Slice"
America's Taco Shop,Al Pastor Pork
Crazy Bowls & Wraps,Broccoli with Olive Oil & Herb
Burrito Boyz,"Small Gluten Free Burrito, Haddock"
Protein House,Portobello Sandwich with Toasted Ezekiel Bread
Cafe Zupas,Kid's Soup-Lobster Bisque
Mimi's Cafe,Malted Waffles with Hickory Smoked Bacon
Mancini,"Jalapenos, Roasted Red, Hot"
Yoshinoya,Spring Rolls - 4 piece
Wayback Burgers,Caesar Salad
PFC,Tocino
Blimpie,"Vernors Ginger Soda, 28 oz"
Pampa,Squid Pieces in Ink Sauce
Coffee Time,Raised Chocolate Yeast Donut
Natural Sea,Premium Cod Fish Sticks
Jack Astor's Bar & Grill,"Buffalo Sauce, Mild"
Duck Donuts,"English Muffin, Sausage Egg And Cheese"
Northern Chef,Coconut Shrimp
Pepperjax Grill,Mild Salsa
Planet Smoothie,"Road Runner Smoothie, 32 oz"
Christines,"Dad's Cookies, Oatmeal Chocolate Chip Cookies"
Just Fresh,"Salad, Kale Yeah"
The Hungry Hobo,Taco Chips
Dari,Moroccan Couscous
Sadaf,Falafel
Charley's Philly Steaks,"Coke Zero, Regular"
Burrito Boyz,"Small Whole Wheat Burrito, Ground Soy"
Moxie's Classic Grill,Lemon-pepper Haddock
Yoshinoya,Cheese Cake
Pinkberry,"Orange Peach Mango Yogurt, Medium"
Weight Watchers,"Candies, Mint Patties"
Mimi's Cafe,French Creole Entree with Pasta
Northern Chef,"Shrimp, Cooked & Peeled Dine Well"
Koyo,"Organic Plain Rice Cakes, No Salt"
Bruster's Real Ice Cream,"Rum Raisin Ice Cream in a Dish, Large"
Perkins Restaurant And Bakery,"Tomato Basil Soup, Cup"
Rushing Waters,Salmon Hickory Smoked
Wild Oats Marketplace,"Organic Couscous, Garlic & Olive Oil"
Baskin Robbins,"Reese's Peanut Butter Cup 31 Below, Medium"
Kirkwood,Chicken Breast Tenderloin
Crazy Bowls & Wraps,Buffalo Wrap
Firehouse Subs,Boxed Lunch - Corned Beef
Burrito Boyz,"Small White Burrito, Calamari Breaded"
Familia,"Swiss Muesli Cereal, 100% Natural"
Pepperjax Grill,"Soft Drink, Large"
Curves,"Snack Bar, Cool Mint Chocolate Miracle"
Planet Wings,Chicken Quesadilla
Concord Foods,Kale & Apple Smoothie Mix
Curves,"Meal Bar, Chocolate Peanut Butter, Light"
Tubby's,Peanut Butter Cookie
241 Pizza,Spicy Buffalo Dipping Sauce
Vocelli Pizza,Meatball Marinara Pasta with Linguini - Party
Bruster's Real Ice Cream,"S'Mores Ice Cream in a Dish, Small"
High Liner,English Style Fillets in Batter
Pretzelmaker,"Strawberry Lemonade, Regular"
Drew's,"Dressing & Quick Marinade, Creamy Italian"
Sidney's,"Bread, Jewish Rye Plain"
Baton Rouge Steakhouse & Bar,Coleslaw
Coffee Time,Herb & Garlic Cream Cheese
High Liner,"Marinated Portions, Tilapia"
Papa Murphy's,Croutons
Magic Wok,"Side Fried Rice, Chicken"
Tim Horton's,"Homestyle Oatmeal, Maple"
Portillo's,"Oven Baked Spaghetti, With Marinara Sauce"
De Dutch Pannekoek House,"Omelette, Low Carb"
Ninety Nine Restaurants,"99 Honey Mustard Dressing, 2 oz."
Wedderspoon,"Manuka Honey plus Vitality, Apple Ginger with Watermelon Seedbutter"
The Hungry Hobo,Wild Cherry Pepsi
Roti,Rice
Taco Bell Canada,Doritos Locos Taco Supreme
Our Family,"Cream Cheese Spread, with Strawberries"
Mauna Loa,"Macadamias, Premium Deluxe Wholes Nuts Covered In Milk Chocolate"
Horizon,Organic Cream Cheese
Ameci Pizza & Pasta,Calzone Filling
Furr's Family Dining,Farmhouse Market Salad
Our Family,100% Vegetable Juice
Wedderspoon,Chocolate Caramel with Sunflower Seedbutter Manuka Honey Plus
Sally's,"Cereals, Honey Oat Medley"
Safeway Select,"Pizza, Ultra Thin Crust, BBQ Recipe Chicken"
Horizon,Organic Macaroni & Mild Cheddar Cheese
Harris Teeter,Cherry Pie Filling & Topping
Hokan,Chinese Noodles (Mein)
Blimpie,"Hi-C Poppin' Pink Lemonade, 12 oz"
Vocelli Pizza,Tuscan Grilled Chicken Salad - Family
Back Yard Burgers,"Lemonade, Kids, 12 oz."
Golden Spoon Frozen Yogurt,Tart Mango Frozen Yogurt
Koyo,"Noodles, Organic Ramen"
Christie's,"Ritz Crackers & Cheese Flavoured Dip, Crackers 'N Cheezy Dip"
Taco Bueno,Beef Taco Rollup Kids Meal with High Cal Drink & Crispy Potato Sticks
Magic Wok,5 Star Chicken
A&W (Canada),"Macaroni Salad, Regular"
White Spot Restaurants,Spinach & Artichoke Quesadilla
Krispy Kreme,"Frozen Vanilla Latte, 16 oz"
Planet Smoothie,"Planet Pro Veg (21G) Cocoa & Banana Smoothie, 32 oz"
Yogli Mogli,Praline n Cream
241 Pizza,"Jalapeno Hawaiian Pizza, Medium Slice"
Natural Sea,Premium Cod Fish Fillets
Just Fresh,"Salad, Raspberry Fields"
Koyo,Organic Udon
Camilla's Kitchen,Sweet Belgian Waffles
Tender Bison,Uncured Bison Hotdog
Lifeway,"Sweet Kiss, Sweet Cheese Spread with Raisins"
Chick-fil-A,"Coca-Cola, Medium"
America's Taco Shop,Chargrilled Chicken Salad
Yogli Mogli,Dutch Chocolate
Duchess Shoppe,44 oz Coca Cola
Kaizen,Orange Whey Protein Powder
Russo's New York Pizzeria,Tiramisu
Taco Bueno,Tex-Mex Platters Setup Regular Chip
Desert Gardens,Southwest Chicken Chowder
Pampa,Sour Cream & Onion Toasted Mini Crackers
Good Times Burgers & Frozen Custard,"Rootbeer, Large"
Chick-fil-A,Hash Brown Scramble Bowl with Sausage
Purebread Deli,Roast Beef
Del Monte,Northwest Pear Halves
Jamba,"Strawberry Whirl Smoothie, 28 fl. oz."
Duchess Shoppe,Pepperoni Pizza - 1 Slice
Sagana,Cornic
Tabatchnick,Southwest Bean Soup
Triple O's,Canadian Waffle without Syrup
Blimpie,"Fuze Raspberry Tea, 28 oz"
Harris Teeter,Fat Free Sour Cream
Horizon,Organic Half and Half
Tijuana Flats,"Kids Taco Filling, Ground Beef and Black Beans"
Coffee Time,Coffee
YoCream,Raspberry Lime Mojito
The Habit Burger Grill,Roasted Garlic Aioli
Purebread Deli,"Mountain Dew, Small"
Back Yard Burgers,Garlic Parmesan Fries - Large
Marvel,"Gordito de Pollo, Bajo en Grasa y Calorias"
Nick-N-Willy's Pizza,"Classic Pizza, Medium"
Mike's Restaurants,Carnivore 12-Inch Stuffed Crust Pizza
Ivar's,Clam Chowder
241 Pizza,"Veggie Sensation Pizza, Large Slice"
Pretzelmaker,"Cherry Limeade, Large"
Mike's Restaurants,Neapolitan 12-Inch Traditional Pizza
Magic Wok,Chicken Teriyaki Bowl
Safeway Select,Soy Orange Citrus Sauce
Del Monte,Pineapple Chunks In Juice
Tyson,"Chicken Wings, First & Second Sections"
White Spot Restaurants,The Ultimate Chocolate Cake with Ice Cream & Whipped Cream
Magic Wok,"Lo Mein, Vegetable"
Concord Foods,Banana Creme
White Spot Restaurants,Clam Chowder Bowl
Pretzelmaker,Cream Cheese
Breadsmith,Whole Wheat Bread
Safeway Select,"Pizza, Pizzeria Crust, Ultimate Supreme Pepperoni and Italian Sausage"
Pretzelmaker,Jalapeno Mini Pretzel Dog
Sail,"Shrimp, Cooked"
241 Pizza,"Pepperoni Pizza, Medium Slice"
Wienerschnitzel,"Strawberry Pineapple Lemonade, 20 oz (without ice)"
Portillo's,Garbage Salad
Christie's,Nutter Butter
Thundercloud Subs,"American Classic Sub, Small"
Frullati Cafe & Bakery,Ham And Egg Croissant
Our Family,"Mixed Fruit, Triple Cherry"
Green Beans Coffee,"White Chocolate Mocha, 16 oz"
Rushing Waters,"Wild Salmon Burger, Spinach Feta"
Perkins Restaurant And Bakery,"Juice, Orange Large"
Cereality,Almonds
Russo's New York Pizzeria,"Artichokes Topping, Party"
Frullati Cafe & Bakery,Ranch Dressing
Firehouse Subs,Sweet & Spicy Meatball - Large
Purebread Deli,Ham
Burrito Boyz,Shrimp
Ninety Nine Restaurants,99 Smashed Apple Caramel Streusel
Tabatchnick,Cabbage Soup
241 Pizza,"Basil Pesto Pizza, Medium Slice"
241 Pizza,Hot Wings
Tasti D-Lite,"Peachy Keen - Vanilla Soft Serve, 5 oz (Custom Blend)"
Perkins Restaurant And Bakery,"55 Plus Build Your Own Omelet, Shredded Pepper Jack Cheese"
Del Monte,"Fresh Cut Golden Sweet Corn, Cream Style"
Tabatchnick,Barley & Mushroom Soup Singles
Thundercloud Subs,"California Club Sub, Large"
Coffee Time,Chocolate Glaze Cake Donut
Norman's,"Greek Nonfat Yogurt, Blueberry"
Baskin Robbins,"Creole Cream Cheese Ice Cream, 4 oz Scoop"
Cafe Zupas,"Sandwiches, Honey Bacon Club, Wheat"
Green Beans Coffee,"Strawberry Banana Smoothie, 16 oz"
Familia,"Organic Swiss Granola, Fruit & Nuts"
Wienerschnitzel,"Bacon Ranch Chili Cheese Fries, Large"
Nick-N-Willy's Pizza,"Caesar Salad with Chicken, Entree"
Tom and Chee,BLT Salad with Horseradish Dressing
Frullati Cafe & Bakery,"Mocha Java Smoothie, Large"
Nick-N-Willy's Pizza,"Garden Veggie Pizza, Personal"
Blimpie,"Diet 7UP, 21 oz"
Charley's Philly Steaks,"Celery Sticks, With Blue Cheese Dip"
Tyson,Chicken Fun Nuggets
Uncle Ben's,Chicken & Wild Rice
Taco Bell Canada,Steak Quesadilla
Lion's Choice,King Turkey Sandwich
Tyson,Chicken Breast Nuggets
Taco Mayo,"Dippin' Sauce, Spicy Roasted Jalapeno"
El Rio,"Enchilada Sauce, Mild"
Just Fresh,"Quesadilla, Kids, Cheese"
Kaizen,Natural Whey Protein
YoCream,Cappuccino
High Liner,Cod Fish Fillet
Heckers,Self-Rising Flour
Tai Pei,Spicy Chicken Noodles
Pretzelmaker,"Limeade, Small"
Perkins Restaurant And Bakery,Belgian Waffle
Taco Bueno,Beef Taco Rollup Kids Meal Beef Taco Rollup
Planet Wings,"Nachos Grande, Chicken"
Burrito Boyz,"Small White Burrito, Ground Soy"
Pepperjax Grill,"Cookie, Chocolate Chip"
Stokey's,No Salt Added Sweet Peas
Mimi's Cafe,Malted Waffles with Pork Sausage
Wayback Burgers,Garden Salad
Emerils,"Stock, Chicken Flavored, Organic"
Green Beans Coffee,"White Chocolate Mocha, 20 oz"
241 Pizza,"Chicken Club Pizza, Small Slice"
Boneheads,Chicken Tenders
Ameci Pizza & Pasta,Spicy Wings
Wg Grinders,Reuben Grinder
Tim Horton's,Sundried Tomato Asiago Parm Bagel
Portillo's,"Spaghetti, Lunch, With Meat Sauce"
Gateway,Soft Rye Bread
Chomp's,"Snack Stick, Grass Fed Beef Stick"
Yogli Mogli,Butter Brickle
Charley's Philly Steaks,"Celery Sticks, With Ranch Dip"
241 Pizza,Gravy
World of Beer,"WOB Chicken Wings, 10 piece with Buffalo Mild and Medium Sauce"
Perkins Restaurant And Bakery,Fish 'n Chips Dinner
Pepperjax Grill,"Diet Soft Drink, Regular"
Coffee Time,Apple Turnover
Protein House,Boss Bowl with Half Brown Rice and Half Quinoa
Jayone,"Roasted Seaweed, Seasoned"
Happy Joe's,"Sauerkraut Original Crust Pizza, 12 inch"
Frullati Cafe & Bakery,"Banana Banana Smoothie, Small"
Happy Joe's,"Spaghetti Joe Original Crust Pizza, 9 inch"
Sail,Cooked Shrimp Ring with Cocktail Sauce
Port of Subs,Classic Sub #1 - 8 inch Medium
The Pickle Barrel,"B.B.Q. Pork Back Spareribs, Half Rack"
Tubby's,Tubby's Famous Dressing
Happy Joe's,"Taco Supreme Original Crust Pizza, 9 inch"
Krispy Kreme,"Frozen Vanilla Latte, 20 oz"
Mi-Familia,Gorditas
Mike's Restaurants,"Pasta, Add Extra Chicken Breast"
Back Yard Burgers,"Strawberry Lemonade, Kids, 12 oz."
East Side Mario's,Chicken Wings
Sonny's Real Pit Bar-b-q,"Bar-B-Q Sauce, Authentic Sweet"
Planet Smoothie,"Captain Kid Smoothie, 16 oz"
Pepperjax Grill,"Burrito, Spicy Italian Sausage"
Mimi's Cafe,Hickory Smoked Ham and Eggs
Familia,"Swiss Crunch Muesli Cereal, with Sunflower and Pumpkin Seeds"
Baskin Robbins,"Caramel Praline Cheesecake Ice Cream, 4 oz Scoop"
Good Times Burgers & Frozen Custard,"Sierra Mist, Large"
Drew's,"Viniagrette & Quick Marinade, Classic Italian"
Mrs. Friday's,Tempura Shrimp
East Side Mario's,"Tomatoes, Regular Pizza Topping"
Tijuana Flats,"Tostada Shell, Tostada Shells with Black Beans"
Koyo,"Organic Wide Udon, Asian Pasta"
KA-ME,"Sweet & Sour Sauce, with Ginger"
Weight Watchers,Peanut Butter Caramel Ice Cream Candy Bars
Mike's Restaurants,Seafood 6-Inch Traditional Pizza
Portlock,Wild Smoked Salmon
Buddy's Bar-b-q,"Sweet Iced Tea, Small"
Lifeway,"Frozen Kefir, Original"
Dorothy Lynch,Fat Free Home Style Dressing
Cereality,"Pb&B Crunch, 2%, Regular"
Tom and Chee,Pickles
Good Times Burgers & Frozen Custard,Kid's Mac & Cheese
Coffee Culture,"Hazelnut Latte, Regular"
Tips,Fish Sauce
Money's,"Mushrooms, Pieces & Stems"
World of Beer,German Pretzel with WOB Beer Cheese
Wayback Burgers,Chicken Tenders
Tim Horton's,"Hot Chocolate, X-Large"
Harris Teeter,Popcorn Chicken
Northern Chef,Cooked Salad Shrimp
Duke's,"Shorty Sausage, Hot & Spicy"
Delmonico's Restaurant,"Dressing, Signature Caesar"
Pretzelmaker,Jalapeno Pretzel Dog
Ninety Nine Restaurants,99 Balsamic Grilled Chicken (No Side)
Vocelli Pizza,Medium Chicken Pesto Pizza Slice
Portillo's,"Mostaccioli, Dinner"
Cold Stone Creamery,"Amaretto Ice Cream, Gotta Have It"
Russo's New York Pizzeria,"Cheese Pizza 28 inch, Slice"
Back Yard Burgers,"Ice Cream, A La Carte"
Golden Spoon Frozen Yogurt,Cake Batter Frozen Yogurt
Western Familya,Sour Cream & Onion Potato Chips
Burrito Boyz,Three Pulled Pork Tacos
Cold Stone Creamery,Reese's Pieces
Mike's Restaurants,"Garden Countryside Platter, 1 Egg"
Lifeway,"Kefir Cultured Milk Smoothie, Probiotic, Mango"
Ocean Beauty Sea Choice,Salmon Burgers
Wayback Burgers,Buffalo Blue
Bimbo,Butter Loaf Cakes
Boneheads,Grilled Tilapia
Horizon,Lowfat Sour Cream
Baskin Robbins,"Energy Freeze (With Monster Energy And Wild 'N Reckless Sherbet), Small"
Frullati Cafe & Bakery,"Chicken Pecan Salad Sandwich, Croissant"
Charley's Philly Steaks,Angry Ghost Classic Chicken
Curves,Chocolate Coconut Escape
Mauna Loa,"Macadamias, Island Classics Dry Roasted, Honey Roasted, Maui Onion & Garlic"
Ninety Nine Restaurants,99 Buffalo Toss Sauce (24 ct Wings)
Port of Subs,Pastrami Melt - 5 inch Small
Back Yard Burgers,"Sweet Tea, Kids, 12 oz."
The Pickle Barrel,Seinfeld's Julienne Salad
DiGiorno,"Pizza, Rising Crust Four Cheese"
Sea Pak Shrimp Co.,"Shrimp, Butterfly"
East Side Mario's,"Cherry Peppers, Regular Pizza Topping"
World of Beer,German Pretzel
Drew's,Organic Salsa Tomatillo Verde
Ninety Nine Restaurants,"99 Popcorn, Bowl"
Baskin Robbins,"Peanut Butter 'N Chocolate Ice Cream, 2.5 oz Scoop"
Wienerschnitzel,"Croissant with Egg, Sausage & Cheese"
Wayback Burgers,Buffalo Chicken Sandwich
Firehouse Subs,Oven Baked Lay's Regular
Triple O's,"Buttermilk Chicken Club, without Sauce"
Charley's Philly Steaks,Thai Chili Classic Chicken
Pepperjax Grill,"Diet Soft Drink, Large"
Furr's Family Dining,Southern Favorite Deviled Eggs
The Pickle Barrel,Low & Slow Hot Alberta Beef Sandwich
Nalley Fresh,Layered Soup Bowl
White Spot Restaurants,Add 2 Slices Bacon
Ninety Nine Restaurants,"99 Entree Accom. Perfect Broccoli Florets, 3 oz."
Sea Pak Shrimp Company,"Shrimp Poppers, Oven Crunchy"
Vocelli Pizza,Medium Garlic Spinaci Pizza White Slice
Chickapea,"Chickpea Lentil Spirals & Cheese, Organic, Classic Cheddar"
Hoss's Family Steak And Sea House,Wheat Dinner Roll
Back Yard Burgers,"Waffle Fries, prepared, 4.5 oz. Kid's"
Yoshinoya,Chocolate Chip Cookie
Kaizen,Whey Isolate Protein Powder
Tom and Chee,Avocado
American Flatbread Grocery,"Pizza, . Cheese and Herb"
Tom and Chee,Creamy Pesto Pasta Salad
Nalley Fresh,Nalley Fiesta Wrap
Tom's,"Pork Skins Chicharrones, Vinegar & Salt"
Bruster's Real Ice Cream,"Key Lime Pie Ice Cream in a Dish, Regular"
Vocelli Pizza,Medium Original Buffalo Chicken Pizza Slice
Happy Joe's,"Spaghetti Joe Pan Crust Pizza, 9 inch"
Earls,Vegan Field Greens Salad
America's Taco Shop,"Guacamole Side, Large"
KA-ME,Hot Chili Sauce With Garlic
Roti,"Cucumber Mint Lemonade, 16 oz"
Tim Horton's,"Broccoli Cheddar Soup, Regular"
Charley's Philly Steaks,Buffalo Classic Chicken
Boneheads,House Hot Chicken Salad
Safeway Select,Roasted with Sea Salt Whole Cashews
Furr's Family Dining,Furr's Famous Millionaire Pie
Tim Horton's,Game Day Donut
Emerils,Roasted Gaaahlic Pasta Sauce
Pampa,Whole Grain Brown Rice
Vocelli Pizza,Large Garlic Spinaci Pizza White Slice
Texas Roadhouse,Salted & Roasted Peanuts
Jayone,"Tofu, Extra Soft"
Taco Bell Canada,Bean Crunchy Taco
Taco Bueno,Tex-Mex Bowl Chicken
Tasti D-Lite,"Toffee Crunch - Chocolate Soft Serve, 1 oz (Gallon Recipe)"
Protein House,Southwest Veggie Wrap
Taco Bueno,#3 Crispy Beef Taco Crispy Taco Combo with High Cal Drink
Bimbo,Flaxseed Bread
Furr's Family Dining,Dark Chocolate Layer Cake
Harris Teeter,"Kidney Beans, Dark Red"
East Side Mario's,"Chicken Wings Starter, Add On: Hot Sauce"
Cereality,"Country Inn Crunch, 2%, Regular"
Tim Horton's,"Latte, Medium"
Chick-fil-A,"Bacon, Egg & Cheese Biscuit"
Christie's,"Fudgee, Original Cookies"
Russo's New York Pizzeria,"Italian Sausage Topping, Party"
Firehouse Subs,Boxed Lunch - Roast Beef
Ninety Nine Restaurants,"99 Balsamic Vinaigrette Dressing, 2 oz"
Tasti D-Lite,"Double Dutch Chocolate - Chocolate Soft Serve, 1 oz (Gallon Recipe)"
Ameci Pizza & Pasta,Whole Wheat Jumbo Dough Ball
Chick-fil-A,"Dr Pepper, Small"
Moxie's Classic Grill,Garlic Dip (dipping sauce)
East Side Mario's,Roasted Garlic Fettuccine With Chicken
Kaley's,"Organic Granola, Baobab & Coconut"
Earls,Brunch Avocado Supertoast
Cold Stone Creamery,Snickers
Pampa,Honey Rings Cereal
Jamba,"Protein Berry Workout Smoothie with Whey Protein, 16 fl. oz."
Firehouse Subs,Club on a Sub - Small
Moxie's Classic Grill,Steak Salad
Back Yard Burgers,Chili Cheese Fries - Regular (using seasoned fries)
Kirkwood,Chicken Tenderloins
Baskin Robbins,"World Class Chocolate Milkshake, Large"
Tubby's,BLT (Large)
Drews,"Organic Salsa, Southwest style Black Bean & Corn, medium"
Firehouse Subs,Firehouse Chopped Salad with Turkey
Wienerschnitzel,"Mug Root Beer, 30 oz (without ice)"
Lifeway,"Yogurt, Drinkable Lowfat, Banana Strawberry"
Taco Bell Canada,Loaded Nacho Taco
Roy Rogers Restaurants,Hamburger
Buddy's Bar-b-q,"Strawberry Milk Shake, Regular"
Camilla's Kitchen,Belgian Waffles
Planet Wings,Seasoned Curly Fries
Back Yard Burgers,"Mountain Dew, Regular, 20 oz."
Coffee Culture,Cinnamon Raisin Bagel
Papa Murphy's,Cowboy - Large Slice
Tubby's,Dr Pepper Large Drink
Tabatchnik,Tuscany Lentil Soup
Good Times Burgers & Frozen Custard,"Vanilla Frozen Custard, Single Cup"
Quiznos,"Cookie, Cinnamon Sugar"
Tyson,Premium Chunk White Chicken in Water
America's Taco Shop,Fire Roasted Salsa
Baton Rouge Steakhouse & Bar,Baton Rouge Burger
Christie's,"Golden Oreo, Cookies"
TacoTime,"Soft Taco, Junior"
Molly & Drew,Beer Bread Mix
Buddy's Bar-b-q,"Strawberry Milk Shake, Large"
Nalley Fresh,Greek Salad
Nalley Fresh,Turkey Chili Bowl
Jayone,Roasted & Seasoned Seaweed Snack
Tim Horton's,Strawberry Double Chocolate Donut
Mimi's Cafe,"Breakfast Add Ons and Sides, Mixed Berries"
The Hungry Hobo,Peanut Butter Cookie
Our Family,"Pudding and Pie Filling, Banana"
High Liner,Tortilla Crusted Tilapia
